FillNumber,RunNumber,RtsStatus,ShiftStatus,RunType,BeginRunTime,TotalRunTime,nEvents,nFiles
18776.0,16071055,0,0,3,2015-03-12 21:58:19,2167,4862982,354
18776.0,16071056,0,0,3,2015-03-12 22:35:23,2119,4643490,331
18776.0,16071058,0,0,3,2015-03-12 23:18:53,1859,4040827,301
18776.0,16071059,0,0,3,2015-03-12 23:50:49,1798,2659706,191
18776.0,16071060,0,0,3,2015-03-13 00:21:47,790,886819,134
18776.0,16071061,0,0,3,2015-03-13 00:36:08,2442,5268331,351
18776.0,16071062,0,0,3,2015-03-13 01:17:47,295,637647,100
18777.0,16071076,0,0,3,2015-03-13 03:34:17,421,879106,120
18777.0,16071077,0,0,3,2015-03-13 03:42:09,1714,3835665,327
18777.0,16071078,0,0,3,2015-03-13 04:11:39,1798,4066319,361
18777.0,16071079,0,0,3,2015-03-13 04:42:30,1973,4484736,367
18777.0,16072001,0,0,3,2015-03-13 05:16:13,1820,4192921,344
18777.0,16072002,0,0,3,2015-03-13 05:47:28,1630,3724343,306
18777.0,16072003,0,0,3,2015-03-13 06:23:35,1853,4130592,307
18777.0,16072006,0,0,3,2015-03-13 07:01:18,1129,2563103,212
18777.0,16072007,0,0,3,2015-03-13 07:20:57,2330,5282327,380
18777.0,16072008,0,0,3,2015-03-13 08:00:46,2183,5025183,351
18777.0,16072009,0,0,3,2015-03-13 08:38:05,1662,3791610,273
18777.0,16072010,0,0,3,2015-03-13 09:13:41,1596,3430041,249
18777.0,16072012,0,0,3,2015-03-13 09:45:50,2023,4499826,305
18777.0,16072013,0,0,3,2015-03-13 10:20:34,1815,4053165,287
18777.0,16072014,0,0,3,2015-03-13 10:51:44,873,1995202,172
18778.0,16072021,0,0,3,2015-03-13 13:47:50,1978,4184208,363
18778.0,16072022,0,0,3,2015-03-13 14:21:39,542,1033861,123
18778.0,16072023,0,0,3,2015-03-13 14:31:50,1823,4150290,350
18778.0,16072024,0,0,3,2015-03-13 15:03:17,1816,3985651,331
18778.0,16072025,0,0,3,2015-03-13 15:34:29,1819,3934157,321
18778.0,16072026,0,0,3,2015-03-13 16:05:49,1814,4000441,319
18778.0,16072033,0,0,3,2015-03-13 17:49:50,1667,3635693,272
18778.0,16072034,0,0,3,2015-03-13 18:18:43,1814,3736571,286
18778.0,16072035,0,0,3,2015-03-13 18:50:05,1822,3793321,266
18778.0,16072036,0,0,3,2015-03-13 19:21:28,1120,2358062,188
18778.0,16072038,0,0,3,2015-03-13 19:49:18,1930,4137596,289
18778.0,16072039,0,0,3,2015-03-13 20:22:32,1790,3859441,270
18778.0,16072040,0,0,3,2015-03-13 20:53:17,2227,4696630,315
18778.0,16072041,0,0,3,2015-03-13 21:31:28,1884,4031602,275
18778.0,16072042,0,0,3,2015-03-13 22:03:54,1880,4042149,281
18778.0,16072043,0,0,3,2015-03-13 22:36:06,423,794521,112
18778.0,16072046,0,0,3,2015-03-13 23:41:38,199,164955,76
18778.0,16072047,0,0,3,2015-03-13 23:45:48,2671,2649201,114
18779.0,16072057,0,0,3,2015-03-14 02:07:48,1990,5016602,468
18779.0,16072058,0,0,3,2015-03-14 02:43:00,1733,3882513,369
18779.0,16072059,0,0,3,2015-03-14 03:12:52,1846,4153766,396
18779.0,16072060,0,0,3,2015-03-14 03:44:35,1194,2681015,264
18779.0,16072061,0,0,3,2015-03-14 04:05:24,2395,5418299,456
18779.0,16072062,0,0,3,2015-03-14 04:53:19,1730,3808273,318
18779.0,16073001,0,0,3,2015-03-14 05:23:02,813,1854536,184
18779.0,16073004,0,0,3,2015-03-14 05:42:23,172,410906,39
18779.0,16073007,0,0,3,2015-03-14 05:52:55,128,364349,40
18779.0,16073010,0,0,3,2015-03-14 06:01:59,1705,2604803,295
18779.0,16073012,0,0,3,2015-03-14 06:35:30,1860,2846860,329
18779.0,16073013,0,0,3,2015-03-14 07:07:23,1147,1770670,211
18779.0,16073015,0,0,3,2015-03-14 07:30:06,38,93602,30
18779.0,16073017,0,0,3,2015-03-14 07:34:43,642,1407261,157
18779.0,16073018,0,0,3,2015-03-14 07:52:40,1810,3869986,314
18779.0,16073019,0,0,3,2015-03-14 08:23:44,1824,3980219,316
18779.0,16073020,0,0,3,2015-03-14 08:55:04,1462,3287952,279
18779.0,16073021,0,0,3,2015-03-14 09:20:31,902,1968241,198
18780.0,16073029,0,0,3,2015-03-14 11:21:41,1829,4928213,368
18780.0,16073030,0,0,3,2015-03-14 11:53:08,1952,3984090,324
18780.0,16073031,0,0,3,2015-03-14 12:26:56,1824,4160089,386
18780.0,16073032,0,0,3,2015-03-14 12:58:15,1108,2175372,233
18780.0,16073033,0,0,3,2015-03-14 13:17:50,1828,4155642,375
18780.0,16073034,0,0,3,2015-03-14 13:49:25,255,525578,108
18780.0,16073035,0,0,3,2015-03-14 14:00:36,926,1998036,214
18780.0,16073037,0,0,3,2015-03-14 14:20:45,1998,4235086,358
18780.0,16073038,0,0,3,2015-03-14 14:55:07,1820,3986010,353
18780.0,16073039,0,0,3,2015-03-14 15:26:27,821,1738768,182
18780.0,16073040,0,0,3,2015-03-14 15:42:20,238,531050,101
18780.0,16073045,0,0,3,2015-03-14 16:01:22,1823,2778592,319
18780.0,16073046,0,0,3,2015-03-14 16:32:42,1206,1872962,238
18780.0,16073047,0,0,3,2015-03-14 17:00:10,1818,2795748,311
18780.0,16073048,0,0,3,2015-03-14 17:31:19,1756,2727207,298
18780.0,16073049,0,0,3,2015-03-14 18:01:36,1557,1960484,233
18780.0,16073050,0,0,3,2015-03-14 18:28:30,755,1193980,160
18786.0,16077021,0,0,3,2015-03-18 13:04:55,354,478677,78
18787.0,16077027,0,0,3,2015-03-18 16:57:48,1108,2339639,241
18787.0,16077028,0,0,3,2015-03-18 17:17:42,634,1332694,155
18787.0,16077029,0,0,3,2015-03-18 17:29:23,407,883680,128
18787.0,16077030,0,0,3,2015-03-18 17:44:34,1842,3993537,370
18787.0,16077031,0,0,3,2015-03-18 18:16:33,1823,3831896,364
18787.0,16077032,0,0,3,2015-03-18 18:48:27,1904,4103610,355
18787.0,16077033,0,0,3,2015-03-18 19:21:20,1412,3071886,273
18787.0,16077034,0,0,3,2015-03-18 19:53:00,1961,4284202,352
18787.0,16077037,0,0,3,2015-03-18 21:08:35,473,1016868,141
18787.0,16077038,0,0,3,2015-03-18 21:17:31,1850,3967159,336
18787.0,16077039,0,0,3,2015-03-18 21:49:37,1801,3929496,315
18787.0,16077040,0,0,3,2015-03-18 22:20:54,1922,4128152,326
18787.0,16077041,0,0,3,2015-03-18 23:00:24,1744,3496579,275
18787.0,16077043,0,0,3,2015-03-18 23:37:28,1266,2734339,228
18787.0,16077044,0,0,3,2015-03-19 00:00:38,1883,3909110,300
18787.0,16077045,0,0,3,2015-03-19 00:32:56,1656,3491167,267
18787.0,16077046,0,0,3,2015-03-19 01:01:28,2339,4928238,345
18787.0,16077047,0,0,3,2015-03-19 01:41:23,1720,3646186,263
18788.0,16077054,0,0,3,2015-03-19 04:14:38,2316,4835747,463
18788.0,16077055,0,0,3,2015-03-19 04:54:46,978,2078839,236
18788.0,16078001,0,0,3,2015-03-19 05:12:07,2029,4536862,431
18788.0,16078002,0,0,3,2015-03-19 05:46:50,1832,4221428,394
18788.0,16078003,0,0,3,2015-03-19 06:18:17,807,1783642,215
18788.0,16078004,0,0,3,2015-03-19 06:40:26,1931,4416418,392
18788.0,16078005,0,0,3,2015-03-19 07:18:30,1842,4177357,363
18788.0,16078006,0,0,3,2015-03-19 07:50:02,1855,4101301,361
18788.0,16078007,0,0,3,2015-03-19 08:21:49,2017,4477536,375
18788.0,16078008,0,0,3,2015-03-19 08:56:24,847,1924153,214
18788.0,16078009,0,0,3,2015-03-19 09:11:22,1861,4246517,340
18788.0,16078010,0,0,3,2015-03-19 09:43:22,2012,3477925,258
18788.0,16078011,0,0,3,2015-03-19 10:24:29,1856,4234719,340
18788.0,16078012,0,-1,3,2015-03-19 10:56:15,2011,4484844,346
18788.0,16078013,0,0,3,2015-03-19 11:30:36,2442,5502452,417
18788.0,16078014,0,0,3,2015-03-19 12:12:17,1050,2303174,208
18789.0,16078028,0,0,3,2015-03-19 17:30:19,1849,4993618,403
18789.0,16078029,0,0,3,2015-03-19 18:02:14,2397,6299235,493
18789.0,16078030,0,0,3,2015-03-19 18:43:52,934,2426896,230
18789.0,16078031,0,0,3,2015-03-19 19:01:05,2422,6414696,515
18789.0,16078032,0,0,3,2015-03-19 19:42:45,218,579520,120
18789.0,16078033,0,0,3,2015-03-19 19:52:32,1930,4959060,398
18789.0,16078034,0,0,3,2015-03-19 20:25:34,1845,4977270,390
18789.0,16078035,0,0,3,2015-03-19 20:57:20,1933,5103324,410
18789.0,16078036,0,0,3,2015-03-19 21:30:26,1843,4812608,380
18789.0,16078037,0,0,3,2015-03-19 22:02:04,1863,4895426,372
18789.0,16078038,0,0,3,2015-03-19 22:34:02,861,2256945,212
18789.0,16078039,0,0,3,2015-03-19 22:58:35,1802,4805028,354
18789.0,16078040,0,0,3,2015-03-19 23:29:30,1987,5303141,390
18789.0,16078041,0,0,3,2015-03-20 00:03:35,1838,4819449,371
18789.0,16078042,0,0,3,2015-03-20 00:35:05,1930,5019412,361
18790.0,16078055,0,0,3,2015-03-20 03:54:08,2214,5634353,518
18790.0,16078056,0,0,3,2015-03-20 04:32:14,1953,4978846,461
18790.0,16079001,0,0,3,2015-03-20 05:05:44,1905,4961917,455
18792.0,16079010,0,0,3,2015-03-20 08:51:59,693,1800036,186
18792.0,16079011,0,0,3,2015-03-20 09:04:46,1127,2848773,276
18792.0,16079013,0,0,3,2015-03-20 09:28:27,1826,4841461,432
18792.0,16079014,0,0,3,2015-03-20 09:59:47,1852,4947445,414
18792.0,16079015,0,0,3,2015-03-20 10:31:32,1881,4884321,396
18792.0,16079016,0,0,3,2015-03-20 11:03:49,2004,5155096,403
18792.0,16079017,0,0,3,2015-03-20 11:38:55,3363,8351168,602
18792.0,16079018,0,0,3,2015-03-20 12:43:17,2848,7257584,541
18792.0,16079019,0,0,3,2015-03-20 13:31:46,2617,6735297,471
18792.0,16079020,0,0,3,2015-03-20 14:16:19,616,1580593,164
18792.0,16079021,0,0,3,2015-03-20 14:34:46,482,984213,139
18792.0,16079022,0,0,3,2015-03-20 14:43:48,2698,7084797,485
18792.0,16079023,0,0,3,2015-03-20 15:29:42,2771,7166295,477
18792.0,16079024,0,0,3,2015-03-20 16:17:31,975,2515789,217
18792.0,16079026,0,0,3,2015-03-20 16:38:09,60,137133,95
18792.0,16079027,0,0,3,2015-03-20 16:39:59,1170,3071241,272
18792.0,16079028,0,0,3,2015-03-20 17:09:03,437,990700,118
18792.0,16079029,0,0,3,2015-03-20 17:17:27,511,1296757,139
18792.0,16079030,0,0,3,2015-03-20 17:32:42,473,1234774,148
18792.0,16079031,0,0,3,2015-03-20 17:41:44,2474,6365786,435
18792.0,16079032,0,0,3,2015-03-20 18:25:52,2856,7336289,473
18792.0,16079033,0,0,3,2015-03-20 19:14:33,1285,3290748,258
